,name,H,e,a
3415,03416,13.4,0.2067952,1.9176422999999998
3446,03447,12.3,0.0287009,1.9908803
3482,03483,13.8,0.1244194,1.9327048999999998
3634,03635,14.8,0.0844569,1.7947294999999999
3756,03757,18.95,0.44608100000000006,1.8346573
3853,03854,14.2,0.13422,1.8923488000000002
3872,03873,12.8,0.13358520000000002,1.892019
3879,03880,13.8,0.08256439999999998,1.9467678
3907,03908,17.3,0.4594763,1.9270846999999998
3939,03940,12.8,0.0566116,1.9877565
4030,04031,13.1,0.10106939999999999,1.9341053
4054,04055,14.7,0.3261789,1.8202878
4115,04116,13.8,0.08053610000000001,1.8723508000000002
4124,04125,13.5,0.11813110000000002,1.9215963
4141,04142,13.1,0.1514792,1.9113409
4182,04183,14.1,0.6342868,1.9827188000000002
4231,04232,13.7,0.0836382,1.9360446
4340,04341,15.9,0.6794886,1.8351439999999999
4439,04440,13.8,0.0770709,1.9211695
4463,04464,13.6,0.06783560000000001,1.9523693
4482,04483,13.3,0.0836723,1.9226441000000003
4489,04490,13.2,0.0924336,1.9309023999999997
4530,04531,14.2,0.040700099999999996,1.8620154999999998
4673,04674,13.9,0.07031489999999999,1.8586683999999998
4689,04690,13.6,0.1085393,1.9378591
4712,04713,13.2,0.07364780000000001,1.9262887
4735,04736,13.6,0.1395323,1.9576307000000002
4763,04764,14.1,0.0469644,1.9316404999999999
4764,04765,13.8,0.0602314,1.9455238000000001
4867,04868,14.8,0.0680785,1.9606167
4897,04898,14.0,0.0816554,1.9534296000000002
5065,05066,14.1,0.15444229999999998,1.9363018
5142,05143,14.0,0.7721005,1.8336265999999999
5174,05175,13.3,0.038740300000000005,1.9671506
5252,05253,14.5,0.22465229999999997,1.9739914
5377,05378,13.8,0.0827304,1.9339639
5383,05384,14.2,0.10384189999999999,1.9353862000000002
5389,05390,13.6,0.077152,1.9390136000000002
5406,05407,14.0,0.2776167,1.8382532
5425,05426,14.0,0.11684639999999999,1.9548593999999997
5426,05427,13.7,0.0742817,1.9315802
5474,05475,15.1,0.1204484,1.9179723000000002
5476,05477,14.0,0.0752288,1.9173112
5557,05558,14.2,0.112798,1.9353855
5576,05577,14.2,0.0442554,1.8443194
5578,05579,14.2,0.0974207,1.9490710999999998
5626,05627,14.4,0.021117,1.877861
5638,05639,14.9,0.0231075,1.8517853
5640,05641,14.0,0.1262884,1.8195694
5652,05653,16.2,0.3042208,1.7942939999999998
5659,05660,15.5,0.762117,1.785693
5796,05797,18.8,0.44414560000000003,1.8937646000000001
5805,05806,13.0,0.0367512,1.9627811999999998
5840,05841,14.4,0.10438589999999999,1.9260941000000003
5866,05867,15.2,0.2521156,1.8211418000000001
5868,05869,17.2,0.3210313,1.8126773999999997
5870,05871,14.1,0.0714423,1.861816
5898,05899,14.2,0.1166631,1.9289154999999998
5904,05905,14.0,0.0717245,1.9102453000000001
5966,05967,13.8,0.05525650000000001,1.9416993000000002
5967,05968,14.3,0.025544400000000002,1.9086573
6028,06029,14.1,0.07600610000000001,1.927036
6086,06087,14.8,0.07610510000000001,1.9300154999999999
6106,06107,14.3,0.0826173,1.8655236000000002
6140,06141,14.3,0.1432442,1.8179532999999999
6162,06163,14.3,0.10252470000000001,1.9271993000000003
6248,06249,13.0,0.1418557,1.9145799
6249,06250,14.3,0.0709294,1.9326923999999999
6270,06271,13.6,0.052243700000000004,1.9681549999999999
6295,06296,14.4,0.0618715,1.8912011999999998
6309,06310,14.2,0.0311974,1.9134619
6381,06382,13.8,0.0469175,1.8245407
6383,06384,13.8,0.077155,1.9363439999999998
6393,06394,13.9,0.0930404,1.9383865000000002
6434,06435,15.2,0.0575419,1.9195672
6446,06447,14.5,0.08614880000000001,1.9518223999999997
6460,06461,14.3,0.10224989999999999,1.9524028999999998
6484,06485,13.9,0.14714170000000001,1.9103227999999999
6492,06493,14.1,0.0835634,1.9489826000000001
6516,06517,14.5,0.047653100000000004,1.9261762999999998
6563,06564,16.2,0.2660185,1.8816005
6601,06602,14.2,0.073831,1.8706921000000003
6617,06618,13.4,0.0444474,1.8751251
